ID;Artist;Title;Rec. Comp.;Year;Type;Country;Cat. No. I;Cat. No. II;Barcode;Medium;Discs;Vinyl type;L.E.;Label lettering;Label background;Sleeve type;Sleeve graphics;Sleeve finish;Sleeve features;Sleeve lettering;Sleeve background;Price code;Inner bag;Insert;Sealed?;Remark
20;David Bowie;Young Americans;RCA Victor;1975;Commercial;United Kingdom;RS-1006;-;-;LP;1;Black;-;Black;Orange;Single;PS;Satin;-;Red and white;Black;HH;Plain white;No;No;"2nd pressing (2E). ""Stereo"" labels. The label matrix numbers (""RS 1006 A"" and ""RS 1006 B"") start below and to the right of ""Stereo"" on the labels. ""Printed in England by Robert Stace"" in the footer of the back cover"
21;David Bowie;Station to station;RCA Victor;1976;Commercial;Germany;APL 1-1327;26.21611;-;LP;1;Black;-;Black;Orange;Single;PS;Matt;-;Red;White;AO;Bag with liner notes;No;No;"No ""Deutsche Pressung"" logo. URC of back cover: inside a rectangle: ""26.21611"" above ""AO"", ""APL 1-1327"" above the rectangle, ""STEREO"" below the rectangle, no cassette symbol. Station To Station track time error on label. English bottom label rim text"
22;David Bowie;Changes one;RCA Victor;1976;Commercial;United Kingdom;RS1055;RS 1055;-;LP;1;Black;-;Black;Orange;Single;PS;Matt;Sticker;Black and red;Grey and white;HH;White die cut;No;No;No MainMan logo on the back cover. Sticker on front cover. 1972 single version (not sax version) of JIOD. Matrix numbers: RS 1055-A-5E M PN-A A3B / RS 1055-B-3E AIK
23;David Bowie;Changes one;RCA Victor;1979;Commercial;United Kingdom;RS1055;RS 1055;-;LP;1;Black;-;Silver;Black;Single;PS;Matt;-;Black and red;Grey and white;HH;White die cut;No;No;"ManMan logo on the back cover. No stickers. ""Side 1/2 Stereo"" at the top of the labels. All track titles listed above the label centre hole. Nine/seven lines of credits etc. below the centre hole on label 1 and 2, resp.. Matrix numbers: RS 1055A-1TU BILBO / RS 1055B-1TU BILBO TA1PE"
24;David Bowie;Changes one;RCA Victor;1976;Commercial;United Kingdom;RS1055;RS 1055;-;LP;1;Black;-;Black;Orange;Single;PS;Matt;-;Black and red;Grey and white;HH;White die cut;No;No;No MainMan logo on the back cover. No front sticker. Sax version (not single version) of JIOD. Norwegian price tag LP4 on back cover. Matrix number: RS 1055-A-1E A3B / RS 1055-B-1E A2D
25;David Bowie;Starting point;London;1977;Commercial;USA;LC 50007;-;-;LP;1;Black;-;Silver;Blue;Single;PS;Matt;Sticker;Black and brown;Yellow;No;Rice paper;No;No;"""Sound savers"" sticker on cellophane. Has ""Side 1"" and ""Side 2"" on the LHS of the label (below ""Stereo""), whereas cat.no. is on the RHS of the label. back cover footer DOES include PolyGram credits"
26;David Bowie;Low;RCA Victor;1977;Commercial;USA;CPL1-2030;-;-;LP;1;Black;-;Silver;Black;Single;PS;Matt;Sticker;Multi;Orange;No;Printed inner bag;No;No;Track list sticker on back cover
27;David Bowie;"""Heroes""";RCA Victor;1977;Commercial;United Kingdom;PL 12522;-;-;LP;1;Black;-;Black;Tan;Single;PS;Glossy;-;White;Grey;ZZ;White die cut;Lyrics;No;"Record manuf. in Italy, sleeve printed in England. Seven (not five) lines printed in small font in the LLC of the back cover. The short line on ""1"" on label 1 is curved, but very short (the ""1"" starts above but to right of ""Side"")"
28;David Bowie;Stage;RCA Victor;1978;Commercial;United Kingdom;PL 02913(2);-;-;LP;2;Yellow;-;Black;Orange;Gatefold;PS;Laminated;Sticker;White;Multi;2xEE;White die cut;No;No;-
29;David Bowie;Stage;RCA Victor;1978;Commercial;USA;CPL2-2913;-;-;LP;2;Black;-;Silver;Black;Gatefold;PS;Matt;;White;Multi;No;White die cut;No;No;-
30;David Bowie;Peter and the wolf;RCA Red Seal;1978;Commercial;United Kingdom;RL 12743;-;-;LP;1;Black;-;Black;Red;Single;PS;Glossy;-;Multi;Multi;HH;Plain white;No;No;"Significant space between ""1"" and ""Stereo"" on label 1"
31;David Bowie;Beauty and the beast / Fame;RCA;1978;Commercial;Spain;PC 1204;;;MA;1;Black;-;Black;Orange;Single;AS;;Round corners;Black, blue and white;White;;;No;No;"""Supersingle"""
32;David Bowie;John, I'm only dancing (again) / John, I'm only dancing;RCA;1979;Commercial;United Kingdom;BOW 124;;;MA;1;Black;L.E. 50.000;Silver;Black;Single;PS;;;Green and white;Green;;;No;;-
33;David Bowie;Profile;Decca;1982;Commercial;Germany;6.24009;6.24 009;-;LP;1;Black;-;Black;Blue, red and silver;Single;PS;Glossy;-;White;Black;AL;White die cut;No;No;"Four lines of text in the LLC of the back cover. Label 2 rim text ends with ""...bei der Teldec, Germany"""
34;David Bowie;Lodger;RCA Victor;1979;Commercial;Germany;PL 13254;-;-;LP;1;Black;-;Black;Orange;Gatefold;PS;Satin;Sticker;Black;Multi;AP;Lyrics bag;No;No;Lyrics on inner sleeve. German sticker on frontside
35;David Bowie;Scary monsters (and super creeps);RCA;1980;Commercial;United Kingdom;BOW LP 2;PL 13647;-;LP;1;Black;-;Silver;Black;Single;AS;Matt;-;Black;White;ZZ;White die cut;Lyrics insert;No;"""Side 1"" and ""Side 2"" printed at the top of the labels"
